nombres|codigo|tardanzas|inasistencias|sueldo_base|porcentaje_comision|descuentoxinasistencia|descuentoxtardanza|total_ventas|descuento_inasistencia|descuento_tardanza|total_sueldo|comision
Maile, Keane, Miriam, Meredith|87729|7|6|1028|12|10|5|25398|99|98|1748|260
Sade, Imelda, Eugenia, Branden|48645|7|9|921|11|10|5|14708|75|17|1629|60
Bree, Daria, Cathleen, Darius|26051|2|2|1195|11|10|5|19598|68|38|1706|1085
Ivan, Coby, Madeson, Seth|59450|7|2|1024|11|10|5|33808|3|100|1154|935
Rhea, Elaine, Keely, Gage|07400|9|3|1147|10|10|5|24329|95|32|1588|895
Coby, Nathaniel, Kennan, Sylvia|75135|8|3|1186|10|10|5|39203|93|21|1197|49
Baker, Dean, Giacomo, Gil|62649|10|9|947|11|10|5|20224|5|35|1345|1087
Olivia, Cade, Penelope, Nicholas|97113|10|6|1064|10|10|5|15442|61|90|1670|1052
Athena, Nicole, Zahir, George|32956|7|7|1018|11|10|5|26036|75|94|1286|385
Nash, Emerald, Georgia, Grady|27207|3|6|1136|11|10|5|35449|28|37|1031|409
Zeph, Lionel, Brenda, Ursa|26754|8|7|999|11|10|5|13261|49|89|1594|1125
Jameson, Claire, Timon, Kennan|53778|5|6|927|10|10|5|33710|38|5|1277|1096
Tarik, Bell, Arsenio, Audra|57895|7|8|977|12|10|5|20726|100|91|1414|56
Whitney, Malachi, Iris, Constance|31498|9|3|1076|12|10|5|39735|57|1|902|270
Fatima, Kenneth, Chiquita, Isaiah|15642|3|5|1010|11|10|5|34383|42|4|1279|1111
Holmes, Henry, Guinevere, Bree|78101|7|5|1123|11|10|5|36102|2|87|1265|616
Emmanuel, Karina, Jarrod, Omar|44548|2|4|979|10|10|5|36896|58|80|1585|526
Hedy, Plato, Kylie, Oren|13419|5|5|921|10|10|5|18609|41|27|859|126
Wade, Clark, Edan, Fulton|92843|6|8|1006|10|10|5|13770|19|78|939|84
Alvin, Riley, Amelia, Justin|02500|10|3|915|11|10|5|14187|75|74|1708|1146
Ian, Ebony, Kylan, Rowan|39436|7|8|921|12|10|5|12222|97|69|1107|419
Thaddeus, Gretchen, Zephania, Demetrius|14531|9|3|1161|11|10|5|30622|87|57|1429|707
Laurel, Caesar, Wade, Ira|97666|7|8|1188|11|10|5|34141|87|62|1219|1104
